date,sku,produit,categorie,ville,marche,source,methode,prix,devise,marque,origine,rupture,promo,promo_detail,paiement_momo
2026-07-15,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,28400,XAF,Mémé,,0,0,,0
2026-07-15,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,1800,XAF,Mayor,,0,0,,0
2026-07-15,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mokolo,CoinAfrique,scrape,1800,XAF,Mayor,,0,0,,1
2026-07-15,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,1800,XAF,Mayor,,0,0,,0
2026-07-15,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Bafoussam,Marché A,Jumia Cameroun,scrape,1820,XAF,Mayor,,0,0,,0
2026-07-15,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Marché Central,Jumia Cameroun,scrape,870,XAF,,,0,0,,0
2026-07-15,CIMENT-50KG,Ciment 50 kg,Matériaux,Yaoundé,Marché Mfoundi,Relevés terrain Kobo,terrain,5650,XAF,Dangote,,0,0,,0
2026-07-15,CIMENT-50KG,Ciment 50 kg,Matériaux,Bafoussam,Marché A,Relevés terrain Kobo,terrain,5580,XAF,Dangote,,0,0,,0
2026-07-15,CONGEL-200L,Congélateur 200 L,Électroménager,Douala,Marché Central,Jumia Cameroun,scrape,182000,XAF,Hisense,Chine,0,0,,1
2026-07-15,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Marché Central,CoinAfrique,scrape,53900,XAF,Tecno,,0,0,,0
2026-07-15,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Douala,Mboppi,Relevés terrain Kobo,terrain,54200,XAF,Tecno,,0,0,,0
2026-07-15,SMART-ENTRY,Smartphone entrée de gamme 64 Go,Téléphonie,Yaoundé,Marché Mokolo,Relevés terrain Kobo,terrain,55200,XAF,Tecno,,0,0,,0
2026-07-16,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Douala,Mboppi,Relevés terrain Kobo,terrain,28200,XAF,Mémé,,0,0,,0
2026-07-16,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Yaoundé,Marché Mokolo,CoinAfrique,scrape,27500,XAF,Mémé,,0,1,,0
2026-07-16,RIZ-PARF-50KG,Riz parfumé 50 kg,Alimentaire,Bafoussam,Marché A,Relevés terrain Kobo,terrain,28500,XAF,Mémé,,0,0,,1
2026-07-16,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Marché Central,Relevés terrain Kobo,terrain,1830,XAF,Mayor,,0,0,,1
2026-07-16,HUILE-VEG-1L,Huile végétale 1 L,Alimentaire,Douala,Mboppi,Jumia Cameroun,scrape,1790,XAF,Mayor,,0,0,,0
2026-07-16,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Marché Central,CoinAfrique,scrape,890,XAF,,,0,0,,1
2026-07-16,SUCRE-1KG,Sucre en poudre 1 kg,Alimentaire,Douala,Mboppi,Relevés terrain Kobo,terrain,910,XAF,,,0,1,,1
